local_authority,district,constituency,ward ,polling_station,facility,prince_ind,judith_zanu_pf,mqondisi_ake,petros_zapu,christabel_mdc,dingilizwe_mdc_t,rejected,unaccounted_for,votes_cast,valid_votes
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Emakhandeni-Entumbane ,10,Entumbane Hall A,School,60,108,5,18,66,325,3,0,585,582
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Emakhandeni-Entumbane ,10,Entumbane Hall B,School,47,98,3,19,55,265,10,0,497,487
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Emakhandeni-Entumbane ,10,Entumbane Sec School B,School,29,33,0,6,38,186,0,0,292,292
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Emakhandeni-Entumbane ,10,Entumbane Secondary School A,School,36,73,4,9,33,259,5,0,419,414
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Emakhandeni-Entumbane ,10,Manyewu Primary School A,School,44,82,0,12,53,290,3,0,484,481
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Emakhandeni-Entumbane ,10,Manyewu Primary School B,School,28,41,1,8,28,170,6,0,282,276
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Emakhandeni-Entumbane ,10,Mthombowesizwe Primary School A,School,87,90,10,6,53,277,6,0,529,523
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Emakhandeni-Entumbane ,10,Mthombowesizwe Primary School B,School,60,86,7,6,39,256,6,0,460,454
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Emakhandeni-Entumbane ,10,Ntabeni Primary School A,School,12,65,4,6,32,199,2,0,320,318
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Emakhandeni-Entumbane ,10,Ntabeni Primary School B,School,11,72,1,5,30,172,4,0,295,291
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Emakhandeni-Entumbane ,10,Yona Shopping Centre,Tent,15,71,4,11,34,240,9,0,384,375
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Emakhandeni-Entumbane ,10,Zulukandaba Primary School A,School,25,238,4,7,59,338,11,0,682,671
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Emakhandeni-Entumbane ,10,Zulukandaba Primary School B,School,16,108,0,11,36,275,2,0,448,446
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Emakhandeni-Entumbane ,11,Easy Pick Shopping Centre,Tent,8,81,2,9,54,183,1,0,338,337
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Emakhandeni-Entumbane ,11,Emakhandeni Hall ,Hall ,7,77,4,3,79,231,2,0,403,401
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Emakhandeni-Entumbane ,11,Emakhandeni Primary School A,School,2,70,3,1,44,104,3,0,227,224
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Emakhandeni-Entumbane ,11,Emakhandeni Primary School B,School,4,52,1,3,25,119,2,0,206,204
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Emakhandeni-Entumbane ,11,Emakhandeni Secondary School A,School,3,88,0,7,29,161,8,0,296,288
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Emakhandeni-Entumbane ,11,Emakhandeni Secondary School B,School,5,70,2,7,54,207,3,0,348,345
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Emakhandeni-Entumbane ,11,Josiah Chinamano Primary School,School,5,97,2,2,68,219,2,0,395,393
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Emakhandeni-Entumbane ,11,Mawunga Shopping Centre,Tent,22,105,2,10,62,305,3,0,509,506
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Emakhandeni-Entumbane ,11,Mtshingwe Primary School A,School,5,45,0,6,17,122,3,0,198,195
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Emakhandeni-Entumbane ,11,Mtshingwe Primary School B,School,10,39,0,7,29,152,1,0,238,237
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Emakhandeni-Entumbane ,11,Wozawoza Shopping Centre,Tent,13,85,1,6,87,271,6,0,469,463
